pl_name,ra,dec,X,Y,Z
BD-11 4672 b,278.3688659,-11.6370481,15.33650177425403,20.535268886249387,-9.006284880445468
BD-11 4672 c,278.3688659,-11.6370481,15.33650177425403,20.535268886249387,-9.006284880445468
BD-13 2130 b,114.2884692,-13.9066703,196.32326825129445,-836.6026073396438,342.89094116298907
BD-14 3065 b,153.6696689,-15.6428372,-155.9607910625901,-10.171497623353826,-568.324067074613
BD-17 63 b,7.1413494,-16.2273254,-22.635916478566553,12.941296634826392,22.531098567863708
BD-210397 b,33.3024198,-21.1962147,-15.799174161671349,-16.103397105791803,-7.36841280211366
BD-210397 c,33.3024198,-21.1962147,-15.799174161671349,-16.103397105791803,-7.36841280211366
CD Cet b,48.3530155,4.7751881,-0.5089425819671243,8.093638337088084,-2.8839256299666762
CFBDSIR J145829+101343 b,224.6208333,10.2286111,,,
CFHTWIR-Oph 98 b,246.934277,-23.98115,,,
CHXR 73 b,166.6193985,-77.6258725,13.337620954703542,17.297463466821398,-189.11680385645963
CI Tau c,68.4667685,22.8416192,62.92897418534314,71.70213869139462,125.94489080173291
COCONUTS-2 b,117.300914,-76.702696,-2.502212134309168,9.17217751972661,-5.30318762081239
CT Cha b,166.0375038,-76.4553693,42.18233296834056,-74.76996025279969,-170.30626009968864
CoRoT-1 b,102.0798591,-3.1021394,-787.1070391644945,-31.07005608565734,17.255514873134867
CoRoT-10 b,291.0636813,0.7460143,221.9723055388369,205.14218424777675,-152.15145353175063
CoRoT-11 b,280.6872998,5.9376586,-545.1753018493364,196.24532774274226,-305.5243573950017
CoRoT-12 b,100.7656871,-1.2964437,70.97202571689492,-252.16581145623047,1095.48379814503
CoRoT-13 b,102.7211432,-5.0864557,341.83604183052745,870.8109464273888,-666.990675338024
CoRoT-14 b,103.4242023,-5.5360385,314.6103281474465,291.41762436071053,-1691.072224842841
CoRoT-16 b,278.5246658,-6.0026026,619.7222182409326,178.59484659093107,-347.08960841647155
CoRoT-17 b,278.699236,-6.612288,873.5774337265302,-298.34643044400843,-728.773029910608
CoRoT-18 b,98.1724172,-0.0316045,-539.3144837473486,17.050441892568294,-542.1294608971174
CoRoT-19 b,97.0335983,-0.1707293,271.3965289307547,-46.79085294402117,-741.1494584320419
CoRoT-2 b,291.7770457,1.3836634,15.125075212122745,79.87962490833132,-197.18041412202157
CoRoT-20 b,97.7204249,0.2268931,-267.32082661666254,-61.71595938497962,-798.2290947686485
CoRoT-20 c,97.7204249,0.2268931,-267.32082661666254,-61.71595938497962,-798.2290947686485
CoRoT-21 b,101.0526207,-0.2991544,,,
